Brain_Region,Loading
"OPC, occipital polar cortex,Right",0.2764012617940856
"rpSTS, rostroposterior superior temporal sulcus,Left",0.17842735099293144
"A23c, caudal area 23,Right",0.16698566124118258
"A5l, lateral area 5,Left",0.1465064035753436
Unnamed: 0,0.1393840315809388
"A40rv, rostroventral area 40(PFop),Left",0.13725899664325802
"IFJ, inferior frontal junction,Left",0.13244319761078732
"A46, area 46,Right",0.1299637714080587
"A28/34, area 28/34 (EC, entorhinal cortex),Left",0.12600946502461544
"V5/MT+, area V5/MT+,Right",0.12511506428024016
