Brain_Region,Loading
"PPtha, posterior parietal thalamus,Left",0.1703401790607725
"A12/47o, orbital area 12/47,Left",0.15612012252080673
"IFJ, inferior frontal junction,Right",0.15562276292950158
"A39c, caudal area 39(PGp),Left",0.1475101094627134
"A35/36c, caudal area 35/36,Left",0.1417759230042128
"mOccG, middle occipital gyrus,Left",0.14141802877377022
"A10l, lateral area10,Left",0.13217223480225415
"A32sg, subgenual area 32,Left",0.1316798494841177
"A4t, area 4(trunk region),Left",0.12997736397894072
"A4hf, area 4(head and face region),Left",0.12672807694846405
