Brain_Region,Loading
"A6dl, dorsolateral area 6,Right",0.21897149651870945
"A37vl, ventrolateral area 37,Left",0.21075606205286432
"A4hf, area 4(head and face region),Left",0.19698998457820022
"V5/MT+, area V5/MT+,Left",0.18909925796833696
"A23d, dorsal area 23,Left",0.16351308486634175
"A10m, medial area 10,Left",0.15876600549461567
"msOccG, medial superior occipital gyrus,Left",0.14287717212990367
"A6m, medial area 6,Right",0.13960789772522184
"A9m,medial area 9,Left",0.1360584332078863
"A10m, medial area 10,Right",0.12920847120416978
