Brain_Region,Loading
"aSTS, anterior superior temporal sulcus,Right",0.1533838510575695
"dId, dorsal dysgranular insula,Left",0.14514957644344315
"A5l, lateral area 5,Right",0.13650551654193932
"A22r, rostral area 22,Right",0.13161228953599508
"A37vl, ventrolateral area 37,Right",0.12946468645809
"A4tl, area 4(tongue and larynx region),Right",0.12909279898223322
"A4tl, area 4(tongue and larynx region),Left",0.1290403416351521
"A37dl, dorsolateral area37,Left",0.12850052476344892
"A23c, caudal area 23,Right",0.12815491762648623
"cTtha, caudal temporal thalamus,Right",0.12766609840447968
