Brain_Region,Loading
"cLinG, caudal lingual gyrus,Right",0.21658515630372888
"A20iv, intermediate ventral area 20,Left",0.20552926729336782
"A5m, medial area 5(PEm),Right",0.18654436065811353
"A32sg, subgenual area 32,Right",0.16536255094223118
"msOccG, medial superior occipital gyrus,Left",0.1575752787478283
"A6m, medial area 6,Left",0.15494056914924265
"A37lv, lateroventral area37,Left",0.14900968121670666
"A38l, lateral area 38,Right",0.1461794054814169
"cHipp, caudal hippocampus,Right",0.1364344063729091
"A7c, caudal area 7,Left",0.13597449317158802
