Brain_Region,Loading
"A9m,medial area 9,Left",0.31188889426585753
"A8dl, dorsolateral area 8,Right",0.23156098023275612
"msOccG, medial superior occipital gyrus,Left",0.20429171902142415
"A4ll, area 4, (lower limb region),Left",0.1581218240439011
"A4ul, area 4(upper limb region),Left",0.14912075217122614
"A39c, caudal area 39(PGp),Left",0.14455833025496884
"mAmyg, medial amygdala,Left",0.1444652011123988
"A20iv, intermediate ventral area 20,Left",0.13932743868843547
"OPC, occipital polar cortex,Left",0.13157730887632726
"TI, area TI(temporal agranular insular cortex),Right",0.12383339024165761
