Brain_Region,Loading
"vId/vIg, ventral dysgranular and granular insula,Left",0.17894816725304025
"mAmyg, medial amygdala,Right",0.17592892640814825
"TL, area TL (lateral PPHC, posterior parahippocampal gyrus),Right",0.16823677316999783
"A23d, dorsal area 23,Right",0.15732914326050648
"cCunG, caudal cuneus gyrus,Left",0.15484161692826956
"A20r, rostral area 20,Right",0.15408841404293527
"dId, dorsal dysgranular insula,Right",0.14549246079164582
"A11m, medial area 11,Right",0.13946700195023365
"mPMtha, pre-motor thalamus,Left",0.13076092842673603
"mPMtha, pre-motor thalamus,Right",0.13028981507492526
