Brain_Region,Loading
"msOccG, medial superior occipital gyrus,Left",0.17633939266808005
"A8dl, dorsolateral area 8,Right",0.16565357776698506
"A6cdl, caudal dorsolateral area 6,Right",0.16076027940451995
"PPtha, posterior parietal thalamus,Right",0.15629981062370593
"A9m,medial area 9,Right",0.15608951434476334
"mPFtha, medial pre-frontal thalamus,Right",0.1511203664468725
"vmPu, ventromedial putamen,Right",0.14645135157482697
"rCunG, rostral cuneus gyrus,Left",0.1365739500555106
"TI, area TI(temporal agranular insular cortex),Right",0.13233337729113612
"cHipp, caudal hippocampus,Left",0.1283568395178631
