Brain_Region,Loading
"A10m, medial area 10,Left",0.26386734387763944
"A6m, medial area 6,Right",0.22865224529864203
"A8vl, ventrolateral area 8,Left",0.2170875506336575
"A4ul, area 4(upper limb region),Left",0.17385003155828205
"A8dl, dorsolateral area 8,Right",0.16516783680981412
"V5/MT+, area V5/MT+,Left",0.16004633836660279
"OPC, occipital polar cortex,Right",0.15936887494272944
"A6dl, dorsolateral area 6,Left",0.1521879119596313
"A7c, caudal area 7,Left",0.15144067811947565
"A8m, medial area 8,Left",0.14993370857745703
