Brain_Region,Loading
"mOccG, middle occipital gyrus,Left",0.2445891961908213
"A20r, rostral area 20,Left",0.21825414018625372
"A21c, caudal area 21,Left",0.19496835861740827
"A40c, caudal area 40(PFm),Left",0.16969666976176342
"A20r, rostral area 20,Right",0.1581282643265169
"TH, area TH (medial PPHC),Left",0.14386912335786584
"A46, area 46,Right",0.1426554963843501
"cHipp, caudal hippocampus,Right",0.14075716920963577
"dCa, dorsal caudate,Right",0.1382077334748578
"V5/MT+, area V5/MT+,Left",0.1369144068864208
