Brain_Region,Loading
"TL, area TL (lateral PPHC, posterior parahippocampal gyrus),Right",0.1449199720938268
"A28/34, area 28/34 (EC, entorhinal cortex),Left",0.13785183255551908
"A20iv, intermediate ventral area 20,Left",0.1312869370970308
"lsOccG, lateral superior occipital gyrus,Left",0.12958751558199297
"vmPu, ventromedial putamen,Left",0.12845037983983967
"A7r, rostral area 7,Left",0.12720481275865847
"A7c, caudal area 7,Right",0.12424964722596242
"TL, area TL (lateral PPHC, posterior parahippocampal gyrus),Left",0.12331848838679207
"A1/2/3ll, area1/2/3 (lower limb region),Right",0.12220365358693885
"Stha, sensory thalamus,Right",0.12162187241575267
