Brain_Region,Loading
"A8dl, dorsolateral area 8,Left",0.34078490709984177
"A9/46d, dorsal area 9/46,Left",0.2335474454584274
"IFJ, inferior frontal junction,Right",0.2149964174116571
"A9/46v, ventral area 9/46 ,Left",0.21044822055184548
"A8vl, ventrolateral area 8,Left",0.18770351795197376
"IFS, inferior frontal sulcus,Left",0.18263283742196845
"A10l, lateral area10,Left",0.17752543547832478
"A6vl, ventrolateral area 6,Left",0.1618857283156102
"A9m,medial area 9,Left",0.16112793659884506
"A9m,medial area 9,Right",0.1546835059679757
