Brain_Region,Loading
"A44d,dorsal area 44,Left",0.26673723176268954
"A21r, rostral area 21,Left",0.16962585570443656
"A9/46d, dorsal area 9/46,Right",0.1670462214702463
"A38l, lateral area 38,Left",0.14639155258856296
"vmPu, ventromedial putamen,Right",0.1439800384718319
"A32sg, subgenual area 32,Left",0.14030619897585908
"A9/46v, ventral area 9/46 ,Right",0.13821809778592742
"A14m, medial area 14,Right",0.13684139926852015
"A4t, area 4(trunk region),Left",0.1327783316992694
"A44v, ventral area 44,Left",0.12782858951838066
