Brain_Region,Loading
Unnamed: 0,0.9767568947170805
"A21c, caudal area 21,Left",0.035536687321661854
"A46, area 46,Right",0.03295069948804589
"A23d, dorsal area 23,Right",0.030716745092671808
"vmPu, ventromedial putamen,Right",0.029742195830782
"A45c, caudal area 45,Left",0.029268096549613844
"A12/47l, lateral area 12/47,Left",0.02855268541642172
"A37lv, lateroventral area37,Right",0.02803725546130412
"A7r, rostral area 7,Left",0.027759649135906873
"A5m, medial area 5(PEm),Left",0.027188756935231387
