Brain_Region,Loading
"cHipp, caudal hippocampus,Right",0.2159252691577178
"cLinG, caudal lingual gyrus,Left",0.196639831089318
"OPC, occipital polar cortex,Left",0.19497528496709382
"A11l, lateral area 11,Right",0.17985504324652585
"A46, area 46,Right",0.17512381023184642
"A45r, rostral area 45,Right",0.16673904462103506
"iOccG, inferior occipital gyrus,Left",0.15625213634821616
"PPtha, posterior parietal thalamus,Left",0.14927780609290414
"A6cdl, caudal dorsolateral area 6,Left",0.14750691706292146
"Stha, sensory thalamus,Left",0.1396506434861281
