Brain_Region,Loading
"A9l, lateral area 9,Right",0.38520091031507103
"A6dl, dorsolateral area 6,Left",0.29702278171575563
"A10m, medial area 10,Right",0.22435056993665925
"A8m, medial area 8,Right",0.19617840083142818
"A8dl, dorsolateral area 8,Left",0.17358897947707605
"dIa, dorsal agranular insula,Left",0.15984105778025248
"TE1.0 and TE1.2,Left",0.14546525027736792
"A6dl, dorsolateral area 6,Right",0.14287279188142699
"A2, area 2,Right",0.1384500051271769
"cLinG, caudal lingual gyrus,Right",0.13254829102415341
