Brain_Region,Loading
"A5m, medial area 5(PEm),Left",0.14361369429727058
"A23v, ventral area 23,Right",0.13297612232788258
"A9m,medial area 9,Right",0.13081279126746337
"A38m, medial area 38,Left",0.12567979229809814
"A4ul, area 4(upper limb region),Right",0.1250920351546356
"IFJ, inferior frontal junction,Left",0.12413303790340491
"A14m, medial area 14,Left",0.11952849468182612
"A7m, medial area 7(PEp),Left",0.11907874486681919
Unnamed: 0,0.1179309373194392
"dIa, dorsal agranular insula,Right",0.11776209454494309
