Brain_Region,Loading
"cpSTS, caudoposterior superior temporal sulcus,Right",0.3221190261901819
"cHipp, caudal hippocampus,Left",0.22378694146127648
"A46, area 46,Right",0.1974852868365787
"A5m, medial area 5(PEm),Right",0.19224401369491326
"A4tl, area 4(tongue and larynx region),Left",0.18626639206129045
"A8vl, ventrolateral area 8,Left",0.16481689488262016
"A46, area 46,Left",0.14940712647234694
"A38l, lateral area 38,Right",0.14212184025434968
"A24cd, caudodorsal area 24,Right",0.14028298374928413
"A23c, caudal area 23,Left",0.13772648978515073
