Brain_Region,Loading
"A8m, medial area 8,Right",0.41705936340559346
"A8m, medial area 8,Left",0.35924534044226
"A9l, lateral area 9,Left",0.22247937894929717
"A4hf, area 4(head and face region),Right",0.14652781487155128
"A6m, medial area 6,Left",0.14212234657855055
"A6dl, dorsolateral area 6,Right",0.13191642402530837
"A8dl, dorsolateral area 8,Right",0.1316980152155777
"A9/46d, dorsal area 9/46,Right",0.13019686846638723
"Stha, sensory thalamus,Left",0.12231610673994778
"A22r, rostral area 22,Left",0.12057245884792998
