Brain_Region,Loading
"A8vl, ventrolateral area 8,Right",0.30413102477719234
"A10l, lateral area10,Left",0.2705454770828894
"A6vl, ventrolateral area 6,Left",0.2150478969541859
"A46, area 46,Right",0.17053691507394775
"IFS, inferior frontal sulcus,Left",0.14824721186409784
"vCa, ventral caudate,Right",0.14168574554961838
"GP, globus pallidus,Right",0.1385887526151563
"TI, area TI(temporal agranular insular cortex),Left",0.13262041222840532
"IFJ, inferior frontal junction,Right",0.12742781632656533
"A1/2/3ulhf, area 1/2/3(upper limb, head and face region),Right",0.1272225438171162
