Brain_Region,Loading
"A9/46d, dorsal area 9/46,Right",0.32583428581587853
"A8dl, dorsolateral area 8,Left",0.293083052662309
"A9l, lateral area 9,Right",0.27653315890260083
"A9m,medial area 9,Left",0.23477683933448432
"A6dl, dorsolateral area 6,Right",0.23441614547822545
"A9l, lateral area 9,Left",0.20845924857162365
"A24cd, caudodorsal area 24,Left",0.16240746871227935
"A6m, medial area 6,Left",0.15556174499596942
"A10m, medial area 10,Right",0.15479566127305605
"A8m, medial area 8,Right",0.14925665311840663
