Brain_Region,Loading
"A8vl, ventrolateral area 8,Right",0.26386221913317914
"dId, dorsal dysgranular insula,Left",0.23305622069256435
"A9/46v, ventral area 9/46 ,Left",0.22468843616316653
"IFS, inferior frontal sulcus,Right",0.22333660862572116
"A44d,dorsal area 44,Right",0.21975032278111728
"A10l, lateral area10,Left",0.21383374945475395
"A6vl, ventrolateral area 6,Left",0.18721927199608035
"A44d,dorsal area 44,Left",0.14443355682771286
"dCa, dorsal caudate,Right",0.14263538868300163
"A1/2/3tonIa, area 1/2/3(tongue and larynx region),Left",0.13554787970952104
