Brain_Region,Loading
"A9/46v, ventral area 9/46 ,Right",0.3790222298233658
"A7c, caudal area 7,Left",0.21333361524131172
"A9/46v, ventral area 9/46 ,Left",0.20728782872601068
"vCa, ventral caudate,Right",0.18874241961688476
"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",0.15356895502976778
"vmPOS,ventromedial parietooccipital sulcus,Right",0.14947006055890932
"A37mv, medioventral area37,Right",0.14559836906514234
"A4tl, area 4(tongue and larynx region),Left",0.13988504680251546
"IFJ, inferior frontal junction,Right",0.13579115505864015
"A2, area 2,Right",0.13213555175717911
