Brain_Region,Loading
"A9m,medial area 9,Right",0.4201165964579253
"A6m, medial area 6,Left",0.332772749501987
"A9l, lateral area 9,Right",0.20684437570123002
"A9/46d, dorsal area 9/46,Right",0.16996211371839925
"A8dl, dorsolateral area 8,Right",0.16691795341129811
"A9/46d, dorsal area 9/46,Left",0.15432279667626564
"A6dl, dorsolateral area 6,Right",0.14131049177374136
"A8m, medial area 8,Right",0.13037788652759216
"cHipp, caudal hippocampus,Left",0.12993634910612603
"A4hf, area 4(head and face region),Left",0.12274542789685715
