Brain_Region,Loading
"A9/46v, ventral area 9/46 ,Left",0.3832042479356666
"A10l, lateral area10,Left",0.35854212820764597
"A9/46v, ventral area 9/46 ,Right",0.21047123958408684
"A8vl, ventrolateral area 8,Left",0.1807762154553897
"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",0.16923650899162088
"IFJ, inferior frontal junction,Right",0.1654445819997378
"A35/36c, caudal area 35/36,Right",0.16176956064679096
"A1/2/3ulhf, area 1/2/3(upper limb, head and face region),Right",0.15782092218118612
"rCunG, rostral cuneus gyrus,Right",0.1391505047298779
"A6vl, ventrolateral area 6,Left",0.1375937337901513
