Brain_Region,Loading
"TE1.0 and TE1.2,Right",0.14791974355311813
"A37elv, extreme lateroventral area37,Right",0.14057613610027114
"A44v, ventral area 44,Left",0.1399032875457624
"A6cvl, caudal ventrolateral area 6,Right",0.1325522396784609
"A4hf, area 4(head and face region),Left",0.13204876560480214
"IFJ, inferior frontal junction,Right",0.12368612200508908
"TL, area TL (lateral PPHC, posterior parahippocampal gyrus),Right",0.12328078773514319
"A5l, lateral area 5,Right",0.122505699442357
"V5/MT+, area V5/MT+,Right",0.12027180636217188
"GP, globus pallidus,Left",0.1174089323802368
