Brain_Region,Loading
"A22c, caudal area 22,Left",0.23605110216258043
"A20iv, intermediate ventral area 20,Left",0.19253243155112204
"A9/46d, dorsal area 9/46,Right",0.18351894563554352
"A44d,dorsal area 44,Left",0.16870481273324564
"A37mv, medioventral area37,Right",0.1578663453831557
"IFJ, inferior frontal junction,Right",0.1553580678952751
"OPC, occipital polar cortex,Right",0.15404016942616594
"A22r, rostral area 22,Right",0.14892008627790587
"A35/36r, rostral area 35/36,Right",0.1388187610303397
"A39rd, rostrodorsal area 39(Hip3),Left",0.13329118463560422
