Brain_Region,Loading
"A6vl, ventrolateral area 6,Right",0.2229765316248236
"cLinG, caudal lingual gyrus,Left",0.20206437046356246
"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",0.18087376869816027
"dlPu, dorsolateral putamen,Left",0.15163871464343248
"msOccG, medial superior occipital gyrus,Left",0.14385919142667028
"iOccG, inferior occipital gyrus,Left",0.13038900378431845
"A23v, ventral area 23,Left",0.12927225136932974
"A22c, caudal area 22,Right",0.12843726789912505
"A6dl, dorsolateral area 6,Right",0.12817137393941197
"A11l, lateral area 11,Left",0.12713969932443292
