Brain_Region,Loading
"cLinG, caudal lingual gyrus,Right",0.17320093920594085
"A44d,dorsal area 44,Left",0.16905895419728126
"A20cl, caudolateral of area 20,Left",0.1668993504815436
"G, hypergranular insula,Left",0.15438815235486292
"A20rv, rostroventral area 20,Right",0.1463102155735384
"A7m, medial area 7(PEp),Right",0.1433842143378841
"A38l, lateral area 38,Left",0.14166683748218878
"A1/2/3tonIa, area 1/2/3(tongue and larynx region),Left",0.1403587703088613
"A20cv, caudoventral of area 20,Right",0.1362223849558616
"A11m, medial area 11,Right",0.1292561290602115
