Brain_Region,Loading
"lPFtha, lateral pre-frontal thalamus,Left",0.1771575592805188
"mPMtha, pre-motor thalamus,Right",0.17403478452911672
"rpSTS, rostroposterior superior temporal sulcus,Left",0.17069918432839584
"mOccG, middle occipital gyrus,Left",0.15409766662001503
"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Right",0.15115879625431838
"A44v, ventral area 44,Right",0.14291116288229574
"A32sg, subgenual area 32,Left",0.13643467366065046
"A39rd, rostrodorsal area 39(Hip3),Right",0.1363874816153783
"lsOccG, lateral superior occipital gyrus,Left",0.13338478228238962
"A20rv, rostroventral area 20,Right",0.1330164550612886
