Brain_Region,Loading
"vCa, ventral caudate,Left",0.2685934596321272
"vCa, ventral caudate,Right",0.21590260978668782
"A37elv, extreme lateroventral area37,Left",0.19733672357928755
"NAC, nucleus accumbens,Right",0.18824751686430413
"NAC, nucleus accumbens,Left",0.1787807640014524
"A6vl, ventrolateral area 6,Left",0.17699118086274251
"A20cv, caudoventral of area 20,Right",0.17444362282558953
"rHipp, rostral hippocampus,Right",0.15475850930614052
"A12/47l, lateral area 12/47,Left",0.13658728941047305
"A8vl, ventrolateral area 8,Right",0.13550019311380113
