Brain_Region,Loading
"A11m, medial area 11,Right",0.20917405141368642
"cpSTS, caudoposterior superior temporal sulcus,Right",0.20398737484329474
"A41/42, area 41/42,Right",0.1575509830466608
"A28/34, area 28/34 (EC, entorhinal cortex),Right",0.15513058446500094
"A44op, opercular area 44,Left",0.15387276208698408
"A14m, medial area 14,Right",0.15094336657104734
"A8dl, dorsolateral area 8,Right",0.14902158174421803
"lAmyg, lateral amygdala,Right",0.14717231655004145
"A31, area 31 (Lc1),Right",0.1439612980544798
"dlPu, dorsolateral putamen,Left",0.14197642214996953
