Brain_Region,Loading
"dIg, dorsal granular insula,Right",0.18431021822456647
"cHipp, caudal hippocampus,Left",0.1785551360127786
"A37lv, lateroventral area37,Left",0.17221304829327236
"rHipp, rostral hippocampus,Left",0.16194633526379998
"lAmyg, lateral amygdala,Left",0.15615816868477722
"A20rv, rostroventral area 20,Left",0.15447307608429617
"GP, globus pallidus,Left",0.1418061291516538
"A40c, caudal area 40(PFm),Left",0.1358284388272063
"NAC, nucleus accumbens,Right",0.13301028630629816
"A40c, caudal area 40(PFm),Right",0.1316882236829184
