Brain_Region,Loading
"mAmyg, medial amygdala,Right",0.19802470040579936
"A1/2/3ll, area1/2/3 (lower limb region),Left",0.18326167508701452
"rHipp, rostral hippocampus,Left",0.16267772490361052
"vIa, ventral agranular insula,Left",0.1577807058142136
"A11m, medial area 11,Left",0.15027111618042577
"A11l, lateral area 11,Left",0.1480461719698252
"A37mv, medioventral area37,Right",0.14156528866915927
"A39rv, rostroventral area 39(PGa),Right",0.1364968753331697
"A7m, medial area 7(PEp),Right",0.1330222665651994
"lPFtha, lateral pre-frontal thalamus,Left",0.13091074734774424
