Brain_Region,Loading
"A7m, medial area 7(PEp),Right",0.24453599745851454
"A7m, medial area 7(PEp),Left",0.17036039416979948
"dIa, dorsal agranular insula,Left",0.16736236792553336
"A37dl, dorsolateral area37,Right",0.15191184468133068
"aSTS, anterior superior temporal sulcus,Left",0.15084720507007393
"vCa, ventral caudate,Right",0.14850402856691758
"A11m, medial area 11,Right",0.14271659757629063
"A7pc, postcentral area 7,Left",0.14158452364864288
"A11m, medial area 11,Left",0.13903695639775335
"A28/34, area 28/34 (EC, entorhinal cortex),Left",0.13813441990563027
