Brain_Region,Loading
"lPFtha, lateral pre-frontal thalamus,Left",0.19415127655401113
"mPFtha, medial pre-frontal thalamus,Right",0.17252163362793752
"mPMtha, pre-motor thalamus,Right",0.16776314964018538
"PPtha, posterior parietal thalamus,Left",0.16748529789788952
"vmPu, ventromedial putamen,Left",0.16378067013870606
"lsOccG, lateral superior occipital gyrus,Left",0.16238269115325568
"A31, area 31 (Lc1),Right",0.14843910056471415
"Otha, occipital thalamus,Left",0.1396068658411125
"A2, area 2,Left",0.13491732125089695
"lPFtha, lateral pre-frontal thalamus,Right",0.13180536676802473
