Brain_Region,Loading
"A6cdl, caudal dorsolateral area 6,Right",0.2130084501955138
"A45c, caudal area 45,Right",0.18804483935817556
"dIa, dorsal agranular insula,Left",0.16976170324006726
"PPtha, posterior parietal thalamus,Right",0.1625561125922214
"A5l, lateral area 5,Right",0.16049224529705985
"NAC, nucleus accumbens,Right",0.15750419351929235
"A23c, caudal area 23,Left",0.15127619058385608
"A7m, medial area 7(PEp),Right",0.1495702474452749
"cpSTS, caudoposterior superior temporal sulcus,Left",0.14540905610209942
"A37lv, lateroventral area37,Right",0.1335379261953355
