Brain_Region,Loading
"A23c, caudal area 23,Left",0.1835645781698084
"A39c, caudal area 39(PGp),Left",0.17315522196339928
"A22c, caudal area 22,Left",0.15402808559228934
"NAC, nucleus accumbens,Left",0.1439007912039304
"dIa, dorsal agranular insula,Right",0.13693187088646017
"Stha, sensory thalamus,Left",0.13652124710439956
"A8m, medial area 8,Right",0.13489104959197865
"A38m, medial area 38,Right",0.13277047575799783
"A41/42, area 41/42,Right",0.13084809248048038
"A31, area 31 (Lc1),Right",0.1291893012898195
