Brain_Region,Loading
"A12/47o, orbital area 12/47,Right",0.23808512982881624
"A1/2/3ulhf, area 1/2/3(upper limb, head and face region),Left",0.19955948058760892
"A8dl, dorsolateral area 8,Right",0.15182956639303627
"A6dl, dorsolateral area 6,Left",0.15018761125394156
"A23v, ventral area 23,Left",0.1500722864258886
"A6cdl, caudal dorsolateral area 6,Right",0.14707486017184027
"mAmyg, medial amygdala,Left",0.1465169511188908
"dId, dorsal dysgranular insula,Right",0.13908274445928953
"A23c, caudal area 23,Left",0.1308838220524002
"dCa, dorsal caudate,Left",0.13067016442102972
