Brain_Region,Loading
"iOccG, inferior occipital gyrus,Left",0.1885447493942303
"A40rd, rostrodorsal area 40(PFt),Left",0.17395512631112106
"A23c, caudal area 23,Left",0.15317712408387307
"A12/47l, lateral area 12/47,Left",0.14647481030786919
"NAC, nucleus accumbens,Left",0.14584981936865102
"A44d,dorsal area 44,Left",0.14573747483470278
"OPC, occipital polar cortex,Right",0.13810054952466205
"GP, globus pallidus,Right",0.13221470557597956
"vmPOS,ventromedial parietooccipital sulcus,Right",0.1321610150551559
"cTtha, caudal temporal thalamus,Left",0.1299968818170809
