Brain_Region,Loading
"A38m, medial area 38,Left",0.1772954430919979
"Otha, occipital thalamus,Right",0.17411736355538437
"A1/2/3tonIa, area 1/2/3(tongue and larynx region),Right",0.17135855529128588
"vCa, ventral caudate,Right",0.15316676624672335
"lsOccG, lateral superior occipital gyrus,Right",0.15101606442037882
"mAmyg, medial amygdala,Right",0.1470931061976283
"aSTS, anterior superior temporal sulcus,Left",0.14092536347471094
"A4ll, area 4, (lower limb region),Left",0.13348148855745995
"A23v, ventral area 23,Left",0.13024028728836087
"cHipp, caudal hippocampus,Left",0.12603031211674204
