Brain_Region,Loading
"msOccG, medial superior occipital gyrus,Left",0.14428266690184682
"IFJ, inferior frontal junction,Right",0.1359948358363188
"A45c, caudal area 45,Right",0.1347884352019183
"A6cvl, caudal ventrolateral area 6,Right",0.12914723043620913
"A7m, medial area 7(PEp),Left",0.12561592802143182
"A45c, caudal area 45,Left",0.12130431042828792
"A44d,dorsal area 44,Right",0.11974528085021682
"A5m, medial area 5(PEm),Right",0.11833323682582617
"A1/2/3ll, area1/2/3 (lower limb region),Right",0.11525198119190985
"A11l, lateral area 11,Left",0.11377360000221436
