Brain_Region,Loading
"A8dl, dorsolateral area 8,Right",0.2137203137211622
"A23v, ventral area 23,Left",0.17220564159469595
"A1/2/3ll, area1/2/3 (lower limb region),Left",0.15134079101416364
"A7m, medial area 7(PEp),Right",0.15062359964982944
"cHipp, caudal hippocampus,Left",0.1482271397889073
"A12/47o, orbital area 12/47,Left",0.14645462188854205
"A6cdl, caudal dorsolateral area 6,Left",0.14176478081813618
"A11m, medial area 11,Right",0.13909506097108398
"A5l, lateral area 5,Left",0.13849747871800908
"A37lv, lateroventral area37,Right",0.12953413786905416
