Brain_Region,Loading
"A9/46v, ventral area 9/46 ,Right",0.18506147407037135
"A45c, caudal area 45,Left",0.17660099470687088
"A8m, medial area 8,Left",0.17545864937829816
"A9m,medial area 9,Left",0.16634691481966185
"A7pc, postcentral area 7,Right",0.1574898105600245
"A45r, rostral area 45,Right",0.15719540213361163
"A37elv, extreme lateroventral area37,Left",0.15433365632889084
"A23d, dorsal area 23,Right",0.15281985507722426
"A1/2/3tru, area1/2/3(trunk region),Left",0.1496814064155717
"A7m, medial area 7(PEp),Right",0.14131912137337418
