Brain_Region,Loading
"A20iv, intermediate ventral area 20,Right",0.1841308293811985
"A20rv, rostroventral area 20,Right",0.16447124502166713
"A7r, rostral area 7,Left",0.14447191832245848
"A10l, lateral area10,Left",0.142444018643622
"A21c, caudal area 21,Left",0.13849018941007638
"A37mv, medioventral area37,Right",0.13778584692475127
"A8m, medial area 8,Right",0.13606671108731316
"Otha, occipital thalamus,Left",0.1263263527757378
"A35/36r, rostral area 35/36,Right",0.12596056765696967
"OPC, occipital polar cortex,Left",0.12432108440489098
