Brain_Region,Loading
"A8m, medial area 8,Right",0.16398558994638582
"A10l, lateral area10,Right",0.16226339558535974
"A22c, caudal area 22,Left",0.1579194627139991
"OPC, occipital polar cortex,Left",0.15670047387769548
"A8dl, dorsolateral area 8,Right",0.15142527762899324
"A38m, medial area 38,Left",0.1461301188017835
"G, hypergranular insula,Right",0.13869552099180985
"NAC, nucleus accumbens,Left",0.1373339436414924
"A39c, caudal area 39(PGp),Left",0.1365378752955532
"A44d,dorsal area 44,Left",0.133660017001941
