Brain_Region,Loading
"A6m, medial area 6,Right",0.27570749462374494
"A8dl, dorsolateral area 8,Left",0.262618737865866
"A9/46d, dorsal area 9/46,Left",0.23788921259228898
"A9m,medial area 9,Right",0.17474504870480823
"A6cdl, caudal dorsolateral area 6,Right",0.1746642894607094
"A6dl, dorsolateral area 6,Right",0.16003440977896152
"A8dl, dorsolateral area 8,Right",0.14415007726114346
"A10m, medial area 10,Right",0.13945671761066403
"dId, dorsal dysgranular insula,Right",0.13944794428687082
"A38m, medial area 38,Right",0.13845969057138105
