Brain_Region,Loading
"A45r, rostral area 45,Left",0.18785313110648308
"A1/2/3ulhf, area 1/2/3(upper limb, head and face region),Left",0.16715174985068437
"A38m, medial area 38,Right",0.16709494845839512
"A1/2/3tonIa, area 1/2/3(tongue and larynx region),Left",0.16531854746280022
"mOccG, middle occipital gyrus,Left",0.1587246073450189
"cpSTS, caudoposterior superior temporal sulcus,Left",0.15512621763041545
"A1/2/3tonIa, area 1/2/3(tongue and larynx region),Right",0.15135916713882341
"A39rv, rostroventral area 39(PGa),Left",0.1495223855776947
"TH, area TH (medial PPHC),Left",0.14735164043697058
"mAmyg, medial amygdala,Right",0.14603925640066198
