Brain_Region,Loading
"A22r, rostral area 22,Right",0.2262038076934809
"A38m, medial area 38,Right",0.1772459669562129
"PPtha, posterior parietal thalamus,Right",0.1656003837613408
"A1/2/3ulhf, area 1/2/3(upper limb, head and face region),Left",0.15989218773347416
"vmPOS,ventromedial parietooccipital sulcus,Left",0.15949654939639643
"iOccG, inferior occipital gyrus,Right",0.15467019877775623
"A14m, medial area 14,Right",0.1527746617227987
"A7c, caudal area 7,Right",0.14602027040568355
"dCa, dorsal caudate,Right",0.13837760515814326
"A23v, ventral area 23,Left",0.1371966564404379
