Brain_Region,Loading
"A7ip, intraparietal area 7(hIP3),Right",0.19700107413513163
"A7ip, intraparietal area 7(hIP3),Left",0.18739403525999615
"A20r, rostral area 20,Left",0.17546532994172775
"A9/46d, dorsal area 9/46,Right",0.1671666291589471
"vId/vIg, ventral dysgranular and granular insula,Left",0.162240824619233
"A11m, medial area 11,Right",0.15934058975785959
"A32p, pregenual area 32,Right",0.15703665887582774
"lAmyg, lateral amygdala,Left",0.1542386745144827
"A6m, medial area 6,Left",0.15207623380805893
"cLinG, caudal lingual gyrus,Left",0.14915166409110286
