Brain_Region,Loading
"TL, area TL (lateral PPHC, posterior parahippocampal gyrus),Left",0.20714282075192195
"A37elv, extreme lateroventral area37,Right",0.18528395666935735
"TH, area TH (medial PPHC),Right",0.1638701595830244
"A5l, lateral area 5,Left",0.16353424539705444
"A8dl, dorsolateral area 8,Left",0.1607881873391114
"A37vl, ventrolateral area 37,Right",0.1599940826264661
"OPC, occipital polar cortex,Right",0.139534278741702
"A38l, lateral area 38,Left",0.13808402934355907
"A45r, rostral area 45,Right",0.13685745567910032
"A1/2/3ulhf, area 1/2/3(upper limb, head and face region),Right",0.1343674510353983
