Brain_Region,Loading
"mAmyg, medial amygdala,Right",0.19721309281613084
"A8m, medial area 8,Right",0.1839365623692632
"A7r, rostral area 7,Right",0.18381240592358183
"A1/2/3tru, area1/2/3(trunk region),Left",0.16822345516078158
"A21r, rostral area 21,Right",0.16790189546905596
"A28/34, area 28/34 (EC, entorhinal cortex),Right",0.15857679613894646
"A32p, pregenual area 32,Right",0.14989487055759654
"cpSTS, caudoposterior superior temporal sulcus,Left",0.1414335100379412
"PPtha, posterior parietal thalamus,Right",0.1411994645059051
"A7r, rostral area 7,Left",0.13964081534975284
