Brain_Region,Loading
"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",0.21141079450524594
"vCa, ventral caudate,Left",0.19277866989428757
"vCa, ventral caudate,Right",0.18798959222866923
"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Right",0.17982705683388647
"mPMtha, pre-motor thalamus,Right",0.16394399938954454
"A8dl, dorsolateral area 8,Left",0.16101696401615803
"A39rd, rostrodorsal area 39(Hip3),Left",0.15238806470824065
"A6vl, ventrolateral area 6,Left",0.14280102631263875
"A7m, medial area 7(PEp),Left",0.13997497017317148
"rHipp, rostral hippocampus,Left",0.1391726307431278
