Brain_Region,Loading
"A23v, ventral area 23,Right",0.18082901287124592
"A7pc, postcentral area 7,Right",0.1668581957878759
"A37lv, lateroventral area37,Right",0.1605292999125974
"TL, area TL (lateral PPHC, posterior parahippocampal gyrus),Right",0.1552871185698602
"A7m, medial area 7(PEp),Right",0.1450975137544602
"A38m, medial area 38,Right",0.14205543639509144
"A10l, lateral area10,Left",0.14188054692266475
"lAmyg, lateral amygdala,Left",0.13735591112551224
"A20rv, rostroventral area 20,Right",0.13638037224114272
"A22r, rostral area 22,Left",0.1316657645612979
