Brain_Region,Loading
"TI, area TI(temporal agranular insular cortex),Right",0.1969074628329177
"rpSTS, rostroposterior superior temporal sulcus,Right",0.16199809496861778
"cpSTS, caudoposterior superior temporal sulcus,Right",0.15386101913137643
"A40c, caudal area 40(PFm),Right",0.14466572701816335
"vId/vIg, ventral dysgranular and granular insula,Left",0.13751266206173982
"A8m, medial area 8,Right",0.13464235403668787
"cpSTS, caudoposterior superior temporal sulcus,Left",0.13421924108953348
"A4t, area 4(trunk region),Left",0.13161887795643679
"A6vl, ventrolateral area 6,Left",0.12782214523984217
"mOccG, middle occipital gyrus,Right",0.12495302395345571
