Brain_Region,Loading
"A6dl, dorsolateral area 6,Right",0.26366047613754545
"A6m, medial area 6,Left",0.2610312048045853
"A10m, medial area 10,Right",0.20473985169213973
"A8dl, dorsolateral area 8,Right",0.1895235412118376
"A39c, caudal area 39(PGp),Right",0.1655890354063091
"IFS, inferior frontal sulcus,Right",0.16294970362862818
"A6dl, dorsolateral area 6,Left",0.1614451235186755
"A20il, intermediate lateral area 20,Left",0.15136904633664128
"PPtha, posterior parietal thalamus,Right",0.14351058543353573
"A10l, lateral area10,Left",0.14284941017175745
