Brain_Region,Loading
"cCunG, caudal cuneus gyrus,Right",0.2094478345432553
"A4t, area 4(trunk region),Right",0.19350416092180472
"A40rd, rostrodorsal area 40(PFt),Right",0.19212318355677852
"A22r, rostral area 22,Right",0.1863616129769223
"A8m, medial area 8,Left",0.18345492137535133
"rLinG, rostral lingual gyrus,Right",0.17029937680427262
"dCa, dorsal caudate,Right",0.16824770785004256
"A40rv, rostroventral area 40(PFop),Right",0.15933728963205612
"A39c, caudal area 39(PGp),Right",0.15036789024261193
"A6cdl, caudal dorsolateral area 6,Left",0.142063662426444
